ID,sku,name,price,currency,stock,category,brand,color,barcode,weight,unit,description,createdAt,updatedAt
11111111-2222-4333-8444-aaaaaaaaaaaa,T-100,Akıllı Telefon 128GB,14999.00,TRY,25,Teknoloji,TechOne,Siyah,8691000001100,0.180,adet,6.5" ekranlı 128GB akıllı telefon,2025-01-01T00:00:00Z,
22222222-3333-4444-8555-bbbbbbbbbbbb,T-200,Dizüstü Bilgisayar i5 16GB,27999.00,TRY,12,Teknoloji,NotePro,Gri,8691000002200,1.500,adet,14" i5 16GB RAM 512GB SSD,2025-01-01T00:00:00Z,
33333333-4444-4555-8666-cccccccccccc,T-300,Tablet 10" 64GB,8999.00,TRY,18,Teknoloji,TabX,Gümüş,8691000003300,0.470,adet,10 inç tablet 64GB depolama,2025-01-01T00:00:00Z,
44444444-5555-4666-8777-dddddddddddd,T-400,Oyun Mouse RGB,799.00,TRY,80,Teknoloji,ProGear,Siyah,8691000004400,0.120,adet,6 tuşlu ayarlanabilir DPI,2025-01-01T00:00:00Z,
55555555-6666-4777-8888-eeeeeeeeeeee,T-500,Mekanik Klavye,1899.00,TRY,45,Teknoloji,KeyMaster,Beyaz,8691000005500,0.850,adet,Blue switch aydınlatmalı,2025-01-01T00:00:00Z,
66666666-7777-4888-8999-ffffffffffff,T-600,27" Monitör IPS 144Hz,6999.00,TRY,22,Teknoloji,ViewMax,Siyah,8691000006600,4.500,adet,144Hz IPS 1ms,2025-01-01T00:00:00Z,
77777777-8888-4999-8aaa-111111111111,T-700,SSD 1TB NVMe,3499.00,TRY,60,Teknoloji,FastStor,Siyah,8691000007700,0.040,adet,PCIe Gen4 NVMe SSD,2025-01-01T00:00:00Z,
88888888-9999-4aaa-8bbb-222222222222,T-800,Harici HDD 2TB,2999.00,TRY,35,Teknoloji,DataBox,Siyah,8691000008800,0.220,adet,USB 3.2 taşınabilir HDD,2025-01-01T00:00:00Z,
99999999-aaaa-4bbb-8ccc-333333333333,T-900,Çift Bant Router AC1200,1599.00,TRY,28,Teknoloji,NetWave,Beyaz,8691000009900,0.350,adet,AC1200 dual-band yönlendirici,2025-01-01T00:00:00Z,
aaaaaaaa-bbbb-4ccc-8ddd-444444444444,T-910,Kulaküstü Bluetooth Kulaklık,2499.00,TRY,40,Teknoloji,SonicBeat,Siyah,8691000010100,0.240,adet,ANC destekli kablosuz kulaklık,2025-01-01T00:00:00Z,
bbbbbbbb-cccc-4ddd-8eee-555555555555,T-920,Powerbank 20000mAh,1299.00,TRY,75,Teknoloji,ChargeUp,Gri,8691000010200,0.420,adet,Hızlı şarj destekli,2025-01-01T00:00:00Z,
cccccccc-dddd-4eee-8fff-666666666666,T-930,USB-C Kablo 1m,149.00,TRY,200,Teknoloji,CablePro,Siyah,8691000010300,0.030,adet,USB-C 60W hızlı şarj kablosu,2025-01-01T00:00:00Z,
dddddddd-eeee-4fff-8ggg-777777777777,T-940,1080p Webcam Mikrofonlu,999.00,TRY,50,Teknoloji,ClearCam,Siyah,8691000010400,0.090,adet,1080p web kamerası,2025-01-01T00:00:00Z,
